id	name	provider	category	tier	source	context_window	max_output_tokens	free_or_paid	input_price_usd	output_price_usd
gemini-3.8-flash	Gemini 3.8 Flash	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.075 (Paid)	$0.00 (Free) / $0.300 (Paid)
gemini-3.1-pro	Gemini 3.1 Pro	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	2097152	8192	free	$0.00 (Free) / $1.25 (Paid)	$0.00 (Free) / $5.00 (Paid)
gemini-3.1-flash	Gemini 3.1 Flash	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.050 (Paid)	$0.00 (Free) / $0.200 (Paid)
gemini-2.5-flash	Gemini 2.5 Flash	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.075 (Paid)	$0.00 (Free) / $0.30 (Paid)
gemini-2.5-pro	Gemini 2.5 Pro	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	2097152	8192	free	$0.00 (Free) / $1.25 (Paid)	$0.00 (Free) / $5.00 (Paid)
gemini-2.0-flash	Gemini 2.0 Flash	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.10 (Paid)	$0.00 (Free) / $0.40 (Paid)
gemini-2.0-flash-lite	Gemini 2.0 Flash Lite	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.075 (Paid)	$0.00 (Free) / $0.30 (Paid)
gemini-2.0-flash-thinking-exp	Gemini 2.0 Flash Thinking Exp	Google DeepMind	Google Gemini (Next-Gen)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.100 (Paid)	$0.00 (Free) / $0.400 (Paid)
gemini-1.5-pro	Gemini 1.5 Pro	Google DeepMind	Google Gemini (Long-Context)	Free Quota + Paid	local-backend	2097152	8192	free	$0.00 (Free) / $1.25 (Paid)	$0.00 (Free) / $5.00 (Paid)
gemini-1.5-flash	Gemini 1.5 Flash	Google DeepMind	Google Gemini (Long-Context)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.075 (Paid)	$0.00 (Free) / $0.30 (Paid)
gemini-1.5-flash-8b	Gemini 1.5 Flash 8B	Google DeepMind	Google Gemini (Long-Context)	Free Quota + Paid	local-backend	1048576	8192	free	$0.00 (Free) / $0.0375 (Paid)	$0.00 (Free) / $0.15 (Paid)
text-embedding-004	Text-Embedding-004	Google DeepMind	Google Specialized & Embeddings	Free Quota + Paid	local-backend	2048	768	free	$0.00 (Free) / $0.025 (Paid)	$0.00 (Embeddings output zero billable generation tokens)
deepseek/deepseek-r1:free	DeepSeek R1 (Free on OpenRouter)	OpenRouter	OpenRouter Free Models	100% Free Community	local-backend	64000	8192	free	$0.00 (100% Free)	$0.00 (100% Free)
